Avg. Area Income,Avg. Area House Age,Avg. Area Number of Bedrooms,Area Population,Avg. Area Number of Rooms,Address,Price
76326.59232,8,3,42779.8313,2,East Ferdows Boulevard,2350000000
63584.04588,9,1,46340.18858,2,East Ferdows Boulevard,1850000000
86340.28729,9,4,35630.56045,5,Shahrake Gharb,21500000000
79471.23882,4,3,36616.16883,1,Qazvin Imamzadeh Hassan,1886000000
55879.50379,7,5,37360.06356,4,Shahran,2200000000
40503.54133,9,3,45979.47754,2,Beryanak,2323000000
83394.40783,5,4,30487.52462,4,Niavaran,6800000000
64501.22645,3,4,43869.30998,1,Farmanieh,20700000000
59569.53734,3,4,31294.65246,4,Gheitarieh,6250000000
69280.31627,8,2,40290.91149,3,Valiasr,1863000000
66342.48968,9,5,11792.81516,5,Pasdaran,13000000000
73367.04599,6,4,23684.78795,2,Qalandari,12500000000
57122.22484,8,2,41972.77154,4,Pasdaran,17000000000
61978.84805,6,2,56957.18775,4,Pasdaran,8500000000
54299.96882,3,5,39512.66371,1,Valiasr,2300000000
71424.40601,3,5,37242.56159,3,Central Janatabad,3350000000
57353.15436,6,2,16906.42172,2,Jeyhoon,2000000000
44731.1098,5,1,39633.47304,2,Punak,5700000000
76175.49393,3,4,30760.99496,5,Shahrake Gharb,27000000000
66574.70999,7,2,69575.44946,4,Shahrake Gharb,12600000000
91731.15438,5,1,33102.09542,3,Amir Bahador,1702000000
75487.0326,6,3,41105.39063,2,Central Janatabad,3000000000
58088.43813,7,2,51925.41161,5,Pasdaran,7500000000
76319.2186,9,3,48026.30837,4,Pasdaran,7500000000
60575.16244,4,4,32158.9679,5,Ekhtiarieh,5000000000
69607.13367,4,2,34609.04022,2,Pardis,700000000
67056.84048,4,3,25134.68148,3,Farmanieh,15600000000
60640.93188,3,5,43119.54066,1,Farmanieh,15350000000
69031.90888,6,5,15660.40301,5,Ekbatan,2810000000
80356.20939,3,3,16215.41728,4,Parand,395000000
60081.17662,8,5,60195.74627,1,Gheitarieh,15100000000
61881.47931,8,5,35597.37289,5,Shahran,1850000000
59590.96529,9,4,24153.88252,1,Rudhen,1450000000
89831.31929,9,5,45335.36028,3,Islamshahr,715000000
72175.2835,3,3,50305.79541,1,Islamshahr,1200000000
67589.04884,6,4,33203.38392,4,Southern Program Organization,4260000000
77300.03144,5,5,29499.04095,4,Andisheh,1500000000
65382.88832,8,2,41723.05474,2,West Ferdows Boulevard,2120000000
71145.2127,3,2,35642.53034,2,East Ferdows Boulevard,2000000000
61053.038,9,2,40675.77383,4,Pardis,590000000
65125.94787,8,4,37642.78527,2,West Ferdows Boulevard,1930000000
51949.2957,7,4,35336.06305,2,East Ferdows Boulevard,2730000000
75897.98884,6,4,34162.67061,2,East Ferdows Boulevard,3150000000
71468.3505,6,1,43269.03337,2,East Ferdows Boulevard,4600000000
53287.99207,9,4,45152.01427,3,Shahr-e-Ziba,3000000000
61503.0406,5,3,37650.86971,3,East Ferdows Boulevard,4500000000
68896.04856,4,3,28394.60978,3,East Ferdows Boulevard,5100000000
91159.41833,7,5,54861.0911,3,Shahr-e-Ziba,2200000000
63375.34848,4,3,45633.19224,1,East Ferdows Boulevard,2300000000
59695.57147,6,5,20702.80267,4,Saadat Abad,4500000000
63183.88974,6,2,58691.20066,3,Pardis,625000000
61177.80813,9,2,26396.29111,4,Northern Janatabad,1620000000
58642.31122,6,3,35131.57815,5,Niavaran,17050000000
53112.27806,6,4,40367.38387,4,East Ferdows Boulevard,1920000000
40366.61629,7,2,16349.36539,4,Farmanieh,17600000000
62207.47581,3,5,34317.53831,2,Shahr-e-Ziba,2250000000
57477.95076,5,3,23649.96887,2,Niavaran,25300000000
55630.48896,8,5,38943.09599,1,West Ferdows Boulevard,1850000000
72399.30556,5,1,41662.00007,5,Saadat Abad,11700000000
89868.89193,4,5,30101.72457,2,Southern Janatabad,3600000000
59801.49103,6,2,33534.9264,3,Southern Janatabad,4400000000
61957.1543,6,5,38448.49148,3,Gheitarieh,15400000000
71123.43282,7,1,44020.1441,1,Shahrake Gharb,22750000000
55202.70547,7,1,28424.95165,2,Punak,4500000000
79298.12201,9,5,15753.26664,3,Punak,4300000000
65070.56701,7,3,24852.56515,5,Punak,3380000000
68494.98255,7,4,13998.57121,1,Saadat Abad,10000000000
55702.20538,5,2,40087.79561,3,Saadat Abad,6500000000
57233.60849,3,5,37374.91924,5,Punak,2200000000
85313.88545,8,5,23974.43557,1,Central Janatabad,3220000000
60224.65171,8,4,42182.86211,5,Punak,6240000000
73873.81919,5,3,33336.32735,3,Punak,3350000000
63149.48523,5,5,37578.84687,1,Persian Gulf Martyrs Lake,3650000000
58593.79404,7,4,39287.5279,5,Saadat Abad,15500000000
73839.87242,6,3,47602.51021,4,East Ferdows Boulevard,5500000000
75984.83111,4,4,42248.68586,1,Absard,4200000000
82145.36942,6,3,25736.09605,3,Absard,3900000000
69017.1828,8,1,55830.75284,2,Pasdaran,6600000000
75429.17898,5,5,36769.24968,2,Haft Tir,4700000000
69513.53892,6,5,14054.05343,2,Shahrake Qods,810000000
57782.41708,4,1,33426.84938,1,Shahr-e-Ziba,2200000000
74372.13845,8,3,34321.96015,1,Shahr-e-Ziba,3680000000
63522.12193,7,2,31995.52529,4,Marzdaran,12670000000
61193.71483,4,4,33196.05984,2,Marzdaran,10000000000
60316.79073,8,4,33831.89363,1,Pasdaran,8100000000
58469.9122,8,1,33547.98482,3,Mahallati,9200000000
75179.90299,6,3,23978.0933,3,Mahallati,5200000000
56186.96329,6,3,41855.65474,5,Shahran,3400000000
73225.0663,8,1,61830.53972,4,Shahran,3550000000
74338.92771,9,1,18057.17178,4,Farmanieh,20000000000
52188.11873,9,1,42495.75468,5,Southern Janatabad,1950000000
83311.10394,8,5,30386.36631,5,Pasdaran,15500000000
72288.6752,9,2,39146.9205,1,Southern Janatabad,2000000000
54866.21569,9,2,35192.84403,4,Southern Janatabad,2280000000
85759.65776,8,4,25897.75802,3,Southern Janatabad,2000000000
59453.34204,5,5,29697.64481,5,Southern Janatabad,1950000000
69878.7742,5,5,26814.17475,3,Feiz Garden,3900000000
59243.29763,4,4,51405.35248,1,Pasdaran,7800000000
57853.3302,9,2,47688.2266,2,Southern Janatabad,2280000000
66643.31463,4,1,30971.15711,4,Punak,2900000000
69248.29959,7,4,35990.10339,1,Ozgol,5000000000
75129.72116,4,3,41620.2893,3,Southern Janatabad,1900000000
76209.99531,3,1,22721.6494,4,Southern Janatabad,2000000000
69342.37657,5,5,21641.97286,4,Southern Janatabad,2200000000
77630.95508,4,5,31739.88912,4,Southern Janatabad,2500000000
68929.15807,6,3,172.6106863,4,Southern Janatabad,2200000000
70990.80491,3,3,30904.25303,3,Pasdaran,10500000000
55860.68084,9,4,40335.22028,3,Zaferanieh,17500000000
56380.9884,8,1,43994.24411,2,Southern Janatabad,2000000000
64306.33882,3,4,30762.36021,3,Southern Janatabad,2250000000
76547.9567,9,2,40564.64489,3,Southern Janatabad,2250000000
57101.71705,5,2,41104.46662,4,Southern Janatabad,3600000000
76192.65604,7,2,21245.84162,2,Heravi,6000000000
79585.55223,5,2,31773.3374,1,Narmak,2842000000
70759.8558,7,5,25981.831,2,Central Janatabad,3120000000
76907.23816,6,2,21658.40932,1,Gheitarieh,8860000000
64744.94244,4,2,28880.01759,5,Saadat Abad,4550000000
51976.02393,8,2,36360.16875,5,Punak,3700000000
61252.63767,4,5,40890.26603,4,Gheitarieh,10000000000
58841.14292,5,2,39555.07059,3,Pasdaran,16580000000
79112.64141,4,3,33771.74049,2,Punak,3250000000
76056.28911,3,2,28470.70147,4,Zaferanieh,52500000000
52399.64822,3,5,18092.13036,2,Northern Janatabad,3550000000
77551.6278,5,5,35834.493,5,West Ferdows Boulevard,3450000000
64160.81595,7,2,32339.00628,2,Shahr-e-Ziba,2490000000
71167.03414,7,2,35174.87134,4,Ekhtiarieh,8400000000
84963.66341,9,4,40447.01075,4,Shahr-e-Ziba,2020000000
59712.82231,5,1,42601.84262,2,Southern Janatabad,3800000000
77733.73119,5,3,32074.57599,5,West Ferdows Boulevard,1550000000
85707.07875,9,5,10424.41625,3,Central Janatabad,5300000000
70280.36135,9,2,39662.74187,5,Saadat Abad,33500000000
69330.74122,8,3,30097.83559,3,Saadat Abad,40000000000
72988.70597,3,4,50566.6448,3,Saadat Abad,19500000000
65697.82067,7,1,28742.12595,1,Gheitarieh,8000000000
76245.21847,4,4,32016.23476,2,Saadat Abad,14800000000
53546.87214,4,3,45504.20369,5,Shahrake Gharb,14700000000
73643.0573,6,5,43152.13958,2,Saadat Abad,22000000000
84774.45122,4,1,32383.55544,2,North Program Organization,16450000000
58140.94032,7,5,49337.53152,5,Heravi,15750000000
61881.16372,7,2,21397.4486,2,Saadat Abad,25000000000
75312.25951,9,3,9487.921585,2,Farmanieh,45000000000
81328.8073,8,1,31231.5444,1,Ozgol,17672000000
77931.47646,3,1,23182.60485,2,Farmanieh,12400000000
84602.59697,9,1,39683.438,1,Farmanieh,27720000000
72445.0333,9,4,69553.98833,3,North Program Organization,3100000000
57497.12815,7,2,43204.15762,2,Niavaran,18700000000
87266.34023,7,1,45161.18768,5,Tajrish,6600000000
62431.9381,6,5,44115.98342,5,Absard,5200000000
72107.42807,6,4,29981.34654,2,Saadat Abad,12000000000
55577.07175,8,4,19560.01241,4,Ekhtiarieh,6500000000
62327.89441,6,4,43364.42819,4,Feiz Garden,3850000000
73931.14266,9,2,29568.95886,5,Northern Janatabad,3200000000
63429.27469,4,2,37998.99693,2,Shahr-e-Ziba,2570000000
73423.90295,9,5,34711.78242,3,Feiz Garden,4300000000
75175.87311,6,2,22367.48207,5,Pasdaran,16200000000
56636.24613,8,2,28139.36846,5,Dorous,13800000000
67665.93963,3,4,24758.48906,5,Dorous,18500000000
65986.81794,7,2,24056.60447,5,Feiz Garden,3850000000
54273.91488,6,2,24233.06146,5,Shahr-e-Ziba,2570000000
75547.84162,5,2,40043.10216,2,Pasdaran,5600000000
70151.08661,7,2,15255.23776,4,Central Janatabad,3250000000
74449.12174,6,1,24837.59073,2,Abazar,3000000000
66919.64032,6,2,18867.78162,4,Saadat Abad,3400000000
68473.86312,9,5,43146.98202,2,Shahr-e-Ziba,6400000000
76113.21733,6,5,26481.51177,5,Shahr-e-Ziba,1890000000
61212.19548,9,5,32045.55987,3,Shahr-e-Ziba,1890000000
59768.80592,8,1,26202.63146,5,Saadat Abad,5400000000
78847.53637,4,3,20653.89831,3,Parand,1417500000
75735.3429,4,5,37268.26997,3,Ostad Moein,1585000000
77847.34897,3,3,30231.80829,4,Southern Janatabad,3270000000
56231.1618,4,3,52657.03375,2,Northern Janatabad,2380000000
89163.49859,6,2,44016.14744,2,Koohsar,4500000000
62377.06447,4,3,39075.95638,2,Saadat Abad,4600000000
68864.2823,7,2,29802.32138,4,Niavaran,12800000000
82440.89576,5,3,27545.52954,2,West Ferdows Boulevard,3900000000
60948.88088,8,1,39754.38814,2,Pasdaran,11800000000
69729.60586,8,3,31719.74264,1,Ekhtiarieh,7400000000
75491.79999,8,1,26013.68048,2,Saadat Abad,5700000000
80648.06571,8,2,35091.95553,3,Pardis,650000000
84036.59865,4,5,32766.60197,4,Shahr-e-Ziba,1890000000
76590.37671,8,4,40643.07833,1,Persian Gulf Martyrs Lake,875000000
63534.45596,8,2,38128.9837,2,Southern Program Organization,2630000000
67269.99554,8,4,41780.47369,3,West Ferdows Boulevard,2200000000
50887.44007,5,2,47731.01076,1,Hekmat,9270000000
80597.1118,8,4,34487.57476,5,West Ferdows Boulevard,2200000000
66041.12358,3,2,40163.97083,4,Punak,7700000000
81316.38029,6,3,35589.59472,5,Persian Gulf Martyrs Lake,12850000000
67877.02913,8,5,43300.95464,2,Punak,4018000000
69306.95842,7,3,36851.38401,2,Punak,10688000000
61200.72618,5,2,42789.69222,3,West Ferdows Boulevard,1640000000
70619.16697,8,3,37865.64855,3,West Ferdows Boulevard,1550000000
69910.85188,8,3,38440.73729,4,West Ferdows Boulevard,2130000000
64889.21934,4,1,25904.97991,1,Sattarkhan,4100000000
69900.13396,4,4,32679.18766,1,West Ferdows Boulevard,2800000000
79045.0398,3,1,24721.95904,2,West Ferdows Boulevard,4520000000
76460.22067,4,3,46851.04219,5,Shahr-e-Ziba,1890000000
58307.72788,8,4,25509.06978,1,Niavaran,5600000000
56679.01602,9,2,40785.0273,5,Shahr-e-Ziba,1890000000
58823.05019,8,2,38682.56933,2,Ekbatan,3700000000
80836.34486,3,5,49864.46977,4,Jeyhoon,2100000000
67710.11298,9,2,25222.46242,3,Parastar,980000000
70027.64713,8,4,40512.81685,2,Shahr-e-Ziba,1890000000
36100.44423,7,4,44901.85734,4,Ekhtiarieh,22500000000
67217.48614,3,3,23999.75522,5,Gheitarieh,14000000000
63657.27563,6,1,36391.92539,4,Saadat Abad,38500000000
71468.2717,7,2,36377.83735,3,Shahr-e-Ziba,1890000000
62989.5114,6,4,36913.35067,3,Pardis,680000000
69327.2601,5,1,31054.77532,1,Shahr-e-Ziba,1890000000
94902.23722,5,1,41662.08363,5,Gisha,5180000000
79579.20471,8,1,31756.40564,1,Shahr-e-Ziba,2580000000
73756.11862,5,3,59485.06632,4,Southern Janatabad,3370000000
65873.93941,5,1,39785.62784,5,Pasdaran,9900000000
52934.43579,4,1,46520.69219,4,Abazar,6480000000
82830.59353,5,3,32026.91225,3,Shahr-e-Ziba,1890000000
73930.83995,9,4,42702.40328,3,Farmanieh,6200000000
58557.13128,3,2,54167.34162,5,Ekhtiarieh,5180000000
51718.35461,6,2,49639.17324,5,Gheitarieh,8900000000
69807.72336,3,5,51453.26516,1,Gheitarieh,7500000000
79627.62859,7,3,31638.85497,4,Shahr-e-Ziba,1890000000
97112.36125,7,4,51470.06764,5,Pirouzi,4059000000
74354.23018,7,1,30091.11684,2,Pirouzi,1800000000
72481.02619,6,5,45160.10161,3,Lavasan,85000000000
73093.48649,6,5,41796.12563,3,Lavasan,55000000000
51992.74329,7,4,21759.50613,5,Pirouzi,1850000000
66484.04819,8,5,51712.14409,3,Ostad Moein,2150000000
81182.15391,9,3,34141.18824,1,Pirouzi,880000000
79103.94328,9,3,25767.8186,4,East Ferdows Boulevard,9360000000
75070.26257,3,1,44682.75733,1,East Ferdows Boulevard,9840000000
44688.56382,3,1,25120.99203,3,East Ferdows Boulevard,14484000000
73726.17986,5,2,28666.77112,5,Shahr-e-Ziba,3400000000
64038.99388,7,1,54130.97595,4,Shahr-e-Ziba,1890000000
69896.51919,9,5,38180.82233,3,Niavaran,55500000000
73723.45535,5,2,24723.27865,2,Ostad Moein,3000000000
79996.61103,4,4,28067.63161,3,Majidieh,2500000000
61538.90779,9,3,51154.13258,5,Shahr-e-Ziba,1890000000
47065.0533,7,5,24125.87581,2,Parastar,1270000000
82381.54875,5,4,36655.12894,1,Shahr-e-Ziba,1990000000
80857.44245,4,1,44385.31241,1,Jeyhoon,1817000000
60893.76408,5,4,49076.75735,1,Pirouzi,2450000000
66356.05996,7,4,38022.8382,3,Pardis,1000000000
78438.36946,7,1,35220.38316,3,Saadat Abad,7700000000
61215.57661,6,3,36495.17095,4,Pardis,1930000000
64907.98025,5,5,46677.2744,5,Pardis,585000000
